sentence1,sentence2,label
"In 2010 , the city 's population included about 16 percent under the age of 18 and about 12 percent who were 65 years of age or older .",Females accounted for 54 percent of the total .,0
"In 2010 , the city 's population included about 16 percent under the age of 18 and about 12 percent who were 65 years of age or older .",The producers had an inside joke where they would say this quotation to each other .,1
"Although the president and his remaining cabinet met with UN planners each day , there remained confusion as to who was in charge and no single group had organized relief efforts as of 16 January .","The government handed over control of the airport to the United States to hasten and ease flight operations , which had been hampered by the damage to the air traffic control tower .",0
"Although the president and his remaining cabinet met with UN planners each day , there remained confusion as to who was in charge and no single group had organized relief efforts as of 16 January .","Seven @-@ piece endgames were solved in 2012 and released as "" Lomonosov tablebases "" .",1
"Due to the small budget of the film , Blake agreed "" in lieu of a reasonable fee "" to retain the copyright to his music .","The score was subsequently arranged into a suite for string orchestra , and is available on CD in a recording by the English Northern <unk> conducted by Paul Daniel .",0
"Due to the small budget of the film , Blake agreed "" in lieu of a reasonable fee "" to retain the copyright to his music .",They moved to expedite an appeal to the Court of Appeals for the Third Circuit .,1
"You 'll never be as good as Dixie . ""","Dean was finally rested on 13 February , which allowed Lawton to make his first team debut against Wolverhampton Wanderers at <unk> ; the match ended in a 6 – 2 defeat , though Lawton scored a penalty .",0
"You 'll never be as good as Dixie . ""","After leaving Taneytown , the state highway becomes Francis Scott Key Highway again as it heads through farmland .",1
Banai is the patron goddess of the Dhangars and the protector goddess of flock and herds .,She takes care of the well @-@ being of the community and is worshipped for increasing the herd .,0
Banai is the patron goddess of the Dhangars and the protector goddess of flock and herds .,"Mosley was elected president of FISA in 1991 and became president of the FIA , FISA 's parent body , in 1993 .",1
"A haze periodically appears above Spot 5 , the best known bright spot , supporting the hypothesis that some sort of outgassing or <unk> ice formed the bright spots .","In March 2016 , Dawn found definitive evidence of water molecules on the surface of Ceres at <unk> crater .",0
"A haze periodically appears above Spot 5 , the best known bright spot , supporting the hypothesis that some sort of outgassing or <unk> ice formed the bright spots .","The author noted how Sawyer decided to approach the interview by presenting the couples relationship and assault case as an "" anomaly "" and accused Rihanna of "" projecting a ' fake ' imagery of strong black woman "" , rather than presenting her another domestic violence victim not only in the United States , but in the world . """,1
"His success won ’ t come back until his demeanor changes "" and "" The more angry you get , it 's that much <unk> to execute your next pitch .","I think I let [ expectations ] get to me "" respectively .",0
"His success won ’ t come back until his demeanor changes "" and "" The more angry you get , it 's that much <unk> to execute your next pitch .","The road travels eastward to N @-@ 71 , where it turns south .",1
"Hydnellum peckii is a mycorrhizal fungus , and as such establishes a mutualistic relationship with the roots of certain trees ( referred to as "" hosts "" ) , in which the fungus exchanges minerals and amino acids extracted from the soil for fixed carbon from the host .","The subterranean hyphae of the fungus grow a sheath of tissue around the rootlets of a broad range of tree species , in an intimate association that is especially beneficial to the host ( termed ectomycorrhizal ) , as the fungus produces enzymes that <unk> organic compounds and facilitate the transfer of nutrients to the tree .",0
"Hydnellum peckii is a mycorrhizal fungus , and as such establishes a mutualistic relationship with the roots of certain trees ( referred to as "" hosts "" ) , in which the fungus exchanges minerals and amino acids extracted from the soil for fixed carbon from the host .",= = = 1761 and 1769 = = =,1
"The AIL Storm ( Hebrew : <unk> , <unk> ) is an Israeli manufactured off @-@ road vehicle and the <unk> of the Israeli Security Forces .",The series of Jeep Wrangler based vehicles have been produced by Automotive Industries Ltd. in Upper Nazareth under licence from Chrysler since 1990 .,0
"The AIL Storm ( Hebrew : <unk> , <unk> ) is an Israeli manufactured off @-@ road vehicle and the <unk> of the Israeli Security Forces .","Its construction was the result of a massive effort involving thousands of workers , and cost over one hundred lives .",1
She was elected to the city council .,In 1952 she became the first woman president of Bristol Trades Council .,0
She was elected to the city council .,"Its audiobook version , performed by a full cast including Alan <unk> , Mark <unk> , and John <unk> , won an <unk> Award in 2007 .",1
"<unk> called her the "" new pin @-@ up girl of Telugu cinema "" .","Talking about being typecast after her success in <unk> <unk> <unk> ( 2010 ) as its female lead , Samantha Ruth Prabhu cited the example of D 'Cruz being typecast in similar roles after the success of Pokiri saying that it had become mandatory for her to wear a bikini in every film since .",0
"<unk> called her the "" new pin @-@ up girl of Telugu cinema "" .","He was politically moderate , arguing against legislation and judicial decisions punishing people for speaking out against the governing magistrates .",1
It was shown continuously at Mumbai 's Minerva theatre for over five years .,Sholay was the Indian film with the longest theatrical run until <unk> <unk> Le <unk> ( 1995 ) broke its record of 286 weeks in 2001 .,0
It was shown continuously at Mumbai 's Minerva theatre for over five years .,The campus is located on Broward College 's Central Campus .,1
"From Time Immemorial had been praised by figures as varied as Barbara <unk> , Theodore H. White , Elie Wiesel , and Lucy <unk> .","Saul <unk> , for one , wrote in a jacket endorsement that :",0
"From Time Immemorial had been praised by figures as varied as Barbara <unk> , Theodore H. White , Elie Wiesel , and Lucy <unk> .","When Perry is portrayed as a domesticated and mindless pet , Povenmire begins with a square shaped like a loaf of bread .",1
"In 1962 , Edwin H. <unk> used models of specific dinosaurs , including Corythosaurus , to estimate their weight .","The Corythosaurus model used , was modelled by Vincent <unk> after a mounted skeleton , and supervised by Barnum Brown .",0
